           x          rho            u            p
-4.99500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.98500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.97500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.96500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.95500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.94500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.93500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.92500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.91500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.90500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.89500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.88500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.87500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.86500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.85500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.84500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.83500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.82500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.81500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.80500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.79500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.78500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.77500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.76500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.75500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.74500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.73500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.72500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.71500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.70500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.69500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.68500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.67500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.66500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.65500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.64500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.63500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.62500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.61500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.60500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.59500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.58500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.57500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.56500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.55500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.54500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.53500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.52500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.51500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.50500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.49500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.48500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.47500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.46500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.45500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.44500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.43500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.42500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.41500e-01  8.00000e+00  0.00000e+00  4.80000e+02
-4.40500e-01  8.00000e+00  0.00000e+00  4.80000e+02
